Rk;Team;G;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Year
19;Chicago Bulls*;82;2421;419;855;.490;7;30;.230;412;826;.499;205;271;.759;143;300;443;262;87;58;154;225;1050;1988
20;Indiana Pacers;82;2403;419;872;.480;20;59;.336;399;813;.491;189;242;.780;131;300;431;241;75;42;161;249;1046;1988
21;Cleveland Cavaliers*;82;2412;404;824;.490;15;41;.378;389;783;.496;221;297;.744;124;279;403;252;89;64;175;224;1045;1988
22;New Jersey Nets;82;2412;391;836;.468;17;55;.301;375;781;.480;205;281;.729;131;276;407;219;89;47;183;249;1004;1988
23;Los Angeles Clippers;82;2415;389;877;.443;10;39;.249;379;839;.452;200;281;.713;145;287;432;230;88;63;187;233;988;1988
1;Phoenix Suns*;82;2409;458;920;.498;20;59;.349;437;861;.508;250;316;.791;134;319;453;278;85;51;156;236;1186;1989
2;Denver Nuggets*;82;2424;465;993;.468;28;82;.337;437;910;.480;222;282;.787;147;306;454;278;99;53;149;255;1180;1989
3;New York Knicks*;82;2415;451;928;.486;47;140;.337;404;788;.513;217;289;.752;161;276;437;254;110;54;192;250;1167;1989
4;Golden State Warriors*;82;2427;455;973;.468;24;77;.308;431;896;.481;232;291;.799;161;312;474;245;101;78;181;237;1166;1989
5;Los Angeles Lakers*;82;2415;437;871;.502;28;81;.340;409;790;.518;245;306;.802;133;319;452;278;88;51;164;204;1147;1989
6;Portland Trail Blazers*;82;2418;451;951;.474;26;79;.335;424;872;.487;218;295;.740;169;290;459;270;101;47;175;247;1146;1989
7;Seattle SuperSonics*;82;2412;435;912;.477;36;94;.379;399;818;.488;216;290;.746;170;273;443;254;105;60;171;247;1121;1989
8;Philadelphia 76ers*;82;2412;427;878;.486;25;79;.316;402;799;.503;240;305;.787;139;287;427;257;84;43;148;210;1119;1989
9;Atlanta Hawks*;82;2415;416;882;.472;13;48;.277;403;833;.483;264;330;.800;167;282;450;243;100;58;160;229;1110;1989
10;Boston Celtics*;82;2412;429;871;.493;10;38;.252;420;833;.504;224;286;.783;144;298;442;267;78;51;163;229;1092;1989
11;Milwaukee Bucks*;82;2409;415;874;.474;22;69;.316;393;805;.488;238;290;.821;138;277;415;253;100;39;159;238;1089;1989
12;Cleveland Cavaliers*;82;2409;423;842;.502;21;58;.359;402;784;.513;222;297;.747;126;302;428;276;96;71;161;194;1088;1989
13;Houston Rockets*;82;2421;416;878;.474;20;64;.314;396;814;.487;233;308;.755;148;311;459;246;96;61;191;247;1085;1989
14;Washington Bullets;82;2421;429;926;.464;6;30;.214;423;896;.472;218;283;.772;153;287;440;250;85;40;157;250;1083;1989
15;Indiana Pacers;82;2421;413;847;.487;25;75;.328;388;772;.503;219;277;.789;130;305;434;245;69;51;189;257;1069;1989
16;Detroit Pistons*;82;2418;414;839;.494;15;49;.300;399;790;.505;223;290;.769;141;310;451;247;64;50;163;236;1066;1989
17;Chicago Bulls*;82;2412;420;850;.495;21;65;.328;399;785;.509;202;257;.786;124;299;423;270;88;46;162;226;1064;1989
18;Los Angeles Clippers;82;2421;430;906;.475;7;29;.231;423;877;.483;196;271;.723;141;291;432;269;99;65;203;236;1062;1989
19;San Antonio Spurs;82;2409;423;904;.468;8;36;.215;415;868;.479;201;289;.698;158;266;424;248;117;52;209;263;1055;1989
20;Sacramento Kings;82;2412;410;896;.457;37;100;.373;373;796;.468;198;257;.770;139;299;438;240;76;50;167;229;1055;1989
21;Utah Jazz*;82;2406;388;804;.482;14;46;.300;374;758;.494;257;334;.770;128;318;446;257;88;71;187;231;1047;1989
22;Charlotte Hornets;82;2412;418;906;.461;16;52;.312;401;854;.470;193;251;.767;139;268;407;283;86;32;161;252;1045;1989
23;New Jersey Nets;82;2415;406;881;.461;23;69;.329;384;812;.473;202;276;.731;147;295;442;219;94;53;177;240;1037;1989
24;Dallas Mavericks;82;2412;396;844;.469;26;83;.310;370;760;.486;218;276;.789;128;292;420;228;71;58;150;212;1035;1989
25;Miami Heat;82;2421;393;868;.453;12;36;.326;381;831;.458;180;256;.702;160;270;429;239;91;50;211;259;978;1989
1;Golden State Warriors;82;2403;425;879;.484;30;91;.324;396;788;.503;282;349;.809;112;291;402;241;92;60;173;245;1163;1990
2;Phoenix Suns*;82;2421;432;871;.496;21;66;.324;411;804;.511;263;331;.795;128;323;452;257;81;61;155;223;1149;1990
3;Denver Nuggets*;82;2415;453;977;.464;28;83;.337;425;895;.475;212;268;.789;143;309;451;277;99;40;139;250;1146;1990
4;Portland Trail Blazers*;82;2424;436;920;.473;23;69;.336;412;851;.484;248;333;.743;165;311;476;254;91;44;165;250;1142;1990
5;Orlando Magic;82;2415;422;918;.459;14;48;.295;407;870;.468;251;332;.756;159;301;460;243;75;36;172;241;1109;1990
6;Los Angeles Lakers*;82;2421;419;855;.490;38;103;.367;381;752;.507;232;295;.787;134;300;434;272;80;54;150;212;1107;1990
7;Philadelphia 76ers*;82;2415;419;857;.489;23;66;.348;396;791;.501;241;306;.788;135;293;429;236;84;45;147;207;1102;1990
8;Boston Celtics*;82;2403;435;872;.498;13;49;.262;422;822;.513;218;263;.832;130;330;460;295;66;55;153;209;1100;1990
9;Chicago Bulls*;82;2418;431;865;.498;30;82;.374;400;783;.511;203;261;.778;131;278;409;265;99;47;152;232;1095;1990
10;Indiana Pacers*;82;2424;412;830;.497;36;94;.382;376;736;.511;232;285;.816;115;291;406;247;67;43;164;240;1093;1990
11;Atlanta Hawks;82;2406;417;856;.487;15;50;.302;402;806;.498;237;310;.764;155;267;422;222;87;43;155;228;1085;1990
12;New York Knicks*;82;2418;419;865;.484;29;87;.332;390;778;.501;216;286;.756;145;296;441;261;87;60;172;223;1083;1990
13;Washington Bullets;82;2418;439;925;.475;5;24;.188;434;900;.482;195;255;.764;146;299;445;270;68;52;146;235;1077;1990
14;Seattle SuperSonics;82;2427;423;883;.479;28;79;.355;395;804;.491;196;264;.741;161;275;436;229;85;41;163;252;1069;1990
15;Utah Jazz*;82;2418;406;804;.505;28;77;.359;379;727;.521;229;303;.754;116;305;421;270;83;60;172;248;1068;1990
16;Houston Rockets*;82;2415;425;884;.480;19;60;.312;406;824;.493;199;276;.720;148;322;470;268;99;67;185;236;1067;1990
17;San Antonio Spurs*;82;2406;413;853;.484;7;28;.239;407;826;.492;230;309;.745;142;302;444;248;97;68;171;226;1063;1990
18;Milwaukee Bucks*;82;2418;412;871;.473;25;82;.312;387;790;.490;210;277;.758;135;274;409;250;101;40;160;254;1060;1990
19;Detroit Pistons*;82;2415;406;851;.478;22;66;.327;385;785;.490;209;275;.761;145;300;444;243;62;51;150;239;1043;1990
20;Los Angeles Clippers;82;2415;405;836;.484;7;28;.243;398;808;.493;221;300;.738;129;288;417;241;95;62;189;227;1038;1990
21;Cleveland Cavaliers*;82;2424;392;851;.461;42;104;.407;350;747;.468;200;268;.744;138;290;428;257;79;62;152;203;1026;1990
22;Dallas Mavericks*;82;2421;396;833;.475;19;59;.323;377;774;.487;212;276;.767;127;295;422;217;81;49;150;211;1022;1990
23;Sacramento Kings;82;2409;403;860;.468;26;79;.333;377;781;.482;185;240;.771;116;288;404;250;67;48;151;227;1017;1990
24;Miami Heat;82;2406;413;896;.461;11;37;.293;402;859;.468;170;247;.687;151;282;434;239;90;47;190;259;1006;1990
25;Charlotte Hornets;82;2409;399;876;.455;25;75;.336;374;801;.466;181;240;.756;117;270;387;254;95;32;150;230;1004;1990
26;New Jersey Nets;82;2403;385;904;.426;17;62;.277;368;843;.437;214;287;.746;166;283;450;180;94;59;166;238;1001;1990
27;Minnesota Timberwolves;82;2421;374;839;.446;9;36;.248;365;803;.455;195;261;.747;146;250;396;225;96;42;146;232;952;1990
1;Denver Nuggets;82;2406;476;1081;.440;37;129;.283;439;952;.461;210;276;.763;185;309;494;245;104;50;162;273;1199;1991
2;Golden State Warriors*;82;2415;435;896;.485;33;98;.337;402;798;.504;264;337;.783;136;281;417;238;98;46;166;269;1166;1991
3;Portland Trail Blazers*;82;2427;436;899;.485;42;110;.377;395;788;.501;233;310;.753;147;312;459;275;88;50;160;241;1147;1991
4;Phoenix Suns*;82;2406;436;878;.496;17;53;.319;419;825;.508;252;327;.770;138;317;455;269;84;65;159;226;1140;1991
5;Indiana Pacers*;82;2415;421;853;.493;30;91;.332;390;762;.513;245;302;.811;124;290;414;266;80;44;165;255;1117;1991
6;Boston Celtics*;82;2415;451;880;.512;13;42;.315;437;838;.522;201;244;.824;133;329;462;263;82;69;161;207;1115;1991
7;Chicago Bulls*;82;2409;443;869;.510;19;52;.366;424;817;.519;196;257;.760;140;286;426;270;100;53;144;214;1100;1991
8;Atlanta Hawks*;82;2409;408;881;.464;33;102;.324;375;779;.482;248;310;.800;151;295;446;227;89;46;150;216;1098;1991
9;San Antonio Spurs*;82;2418;416;852;.488;10;36;.273;406;816;.497;230;300;.766;138;324;462;261;82;70;176;231;1071;1991
10;Houston Rockets*;82;2421;415;889;.467;39;121;.320;376;768;.490;199;268;.741;155;306;461;232;97;50;171;229;1067;1991
11;Seattle SuperSonics*;82;2424;427;868;.492;17;52;.319;410;816;.503;196;261;.750;149;265;414;249;105;46;171;241;1066;1991
12;Milwaukee Bucks*;82;2421;407;847;.480;31;92;.341;376;755;.497;219;273;.801;132;264;395;253;109;40;161;248;1064;1991
13;Los Angeles Lakers*;82;2418;408;843;.484;28;91;.304;380;752;.505;220;276;.798;131;298;429;255;78;47;147;186;1063;1991
14;Orlando Magic;82;2412;402;885;.455;33;92;.358;369;793;.466;222;298;.743;150;296;447;221;73;37;170;241;1059;1991
15;Philadelphia 76ers*;82;2449;401;845;.475;24;75;.316;377;769;.491;228;289;.790;120;304;424;222;83;58;150;199;1054;1991
16;Utah Jazz*;82;2412;392;797;.492;18;56;.323;374;741;.504;238;301;.789;106;302;407;270;80;55;159;219;1040;1991
17;Los Angeles Clippers;82;2415;414;892;.464;14;53;.260;400;839;.476;195;277;.702;152;305;457;258;88;62;175;249;1035;1991
18;New York Knicks*;82;2434;403;832;.485;23;68;.332;381;764;.499;202;262;.770;128;297;425;265;78;51;168;215;1031;1991
19;New Jersey Nets;82;2418;404;910;.444;20;71;.275;384;838;.458;202;274;.739;171;286;457;217;91;73;174;238;1029;1991
20;Charlotte Hornets;82;2415;401;858;.467;16;51;.314;385;807;.477;210;270;.779;125;268;394;246;93;37;157;237;1028;1991
21;Miami Heat;82;2412;400;871;.459;17;57;.302;383;814;.470;201;281;.715;150;281;431;232;92;47;189;254;1018;1991
22;Cleveland Cavaliers;82;2418;397;836;.475;20;58;.334;378;778;.486;203;265;.765;123;284;407;273;78;55;156;204;1017;1991
23;Washington Bullets;82;2421;413;886;.466;7;35;.194;407;852;.478;180;247;.729;143;291;435;254;72;57;166;235;1014;1991
24;Detroit Pistons*;82;2415;390;838;.465;16;54;.298;374;785;.476;206;270;.763;147;299;446;223;59;45;144;228;1001;1991
25;Dallas Mavericks;82;2415;396;840;.471;24;73;.322;372;767;.485;184;242;.761;120;288;408;222;71;48;145;224;999;1991
26;Minnesota Timberwolves;82;2427;398;887;.449;13;46;.283;385;841;.458;187;254;.735;155;258;413;230;87;54;130;227;996;1991
27;Sacramento Kings;82;2403;376;831;.453;26;70;.374;350;761;.460;188;257;.732;125;270;396;243;77;63;155;253;967;1991
1;Golden State Warriors*;82;2424;459;906;.507;31;93;.333;428;813;.527;237;318;.746;139;290;428;252;104;46;165;250;1187;1992
2;Indiana Pacers*;82;2434;427;863;.494;41;115;.354;386;749;.516;228;288;.790;132;313;445;292;86;48;171;261;1122;1992
3;Phoenix Suns*;82;2415;433;880;.492;28;73;.381;406;808;.502;227;292;.776;133;312;445;269;82;71;151;226;1121;1992
4;Portland Trail Blazers*;82;2424;424;897;.473;40;115;.344;384;781;.492;227;300;.754;158;311;469;252;92;50;162;242;1114;1992
5;Chicago Bulls*;82;2418;444;874;.508;17;55;.304;427;819;.522;194;260;.744;143;297;440;278;82;59;133;206;1099;1992
6;Charlotte Hornets;82;2415;441;923;.477;14;45;.317;426;878;.486;200;264;.755;142;289;431;279;100;38;155;222;1095;1992
7;Cleveland Cavaliers*;82;2415;418;857;.488;31;86;.357;387;770;.502;222;275;.805;127;299;426;276;75;76;131;190;1089;1992
8;Utah Jazz*;82;2424;412;837;.492;19;56;.345;393;781;.503;239;304;.788;134;310;444;267;87;55;154;213;1083;1992
9;Boston Celtics*;82;2412;432;878;.492;13;44;.306;419;834;.502;189;234;.808;134;315;449;253;78;59;142;206;1066;1992
10;Seattle SuperSonics*;82;2421;412;869;.474;25;79;.317;387;790;.490;216;276;.783;156;275;432;229;95;55;161;238;1065;1992
11;Atlanta Hawks;82;2427;426;912;.467;26;82;.313;400;830;.482;185;253;.731;157;305;462;259;97;39;153;216;1062;1992
12;New Jersey Nets*;82;2412;424;924;.458;27;82;.334;396;843;.470;179;245;.732;184;292;476;236;90;75;170;224;1054;1992
13;Milwaukee Bucks;82;2424;405;880;.460;45;123;.369;360;757;.475;195;257;.759;158;265;423;246;105;39;165;232;1050;1992
14;Miami Heat*;82;2418;397;861;.461;31;92;.342;366;770;.475;224;284;.790;145;289;433;213;82;45;168;222;1050;1992
15;Sacramento Kings;82;2418;408;877;.466;29;82;.353;379;794;.477;197;264;.747;129;287;416;239;89;75;166;215;1043;1992
16;San Antonio Spurs*;82;2412;412;865;.476;14;49;.292;397;815;.487;201;274;.736;150;311;461;245;89;74;160;219;1040;1992
17;Los Angeles Clippers*;82;2418;408;863;.473;18;61;.289;390;802;.487;195;271;.720;138;292;430;250;100;61;155;228;1029;1992
18;Washington Bullets;82;2421;410;890;.461;18;65;.272;392;825;.476;185;239;.778;130;286;416;245;87;51;153;226;1024;1992
19;Houston Rockets;82;2424;399;841;.475;40;117;.343;359;724;.496;182;246;.738;131;297;428;251;80;70;168;216;1020;1992
20;Philadelphia 76ers;82;2409;389;825;.471;28;83;.334;361;742;.487;214;276;.775;129;282;411;214;84;59;151;193;1019;1992
21;Orlando Magic;82;2403;393;866;.453;24;74;.324;369;792;.466;206;277;.746;143;284;427;219;78;45;169;241;1016;1992
22;New York Knicks*;82;2421;404;847;.477;25;75;.325;379;772;.492;183;250;.734;145;304;448;260;77;47;151;232;1016;1992
23;Minnesota Timberwolves;82;2415;410;895;.458;15;48;.320;395;847;.466;168;226;.743;142;264;407;247;75;64;141;228;1005;1992
24;Los Angeles Lakers*;82;2418;388;851;.456;15;54;.267;374;797;.469;213;278;.766;141;268;409;220;92;49;133;188;1004;1992
25;Denver Nuggets;82;2412;398;900;.442;15;51;.301;382;849;.450;186;252;.738;165;287;451;189;94;56;176;242;997;1992
26;Detroit Pistons*;82;2412;389;837;.465;20;64;.314;369;773;.477;191;257;.743;148;295;443;232;67;44;148;201;989;1992
27;Dallas Mavericks;82;2409;380;866;.439;33;97;.336;348;769;.452;183;244;.750;146;297;443;199;65;43;147;228;976;1992
1;Phoenix Suns*;82;2406;426;865;.493;49;134;.363;378;731;.516;233;310;.753;139;306;445;255;92;55;166;212;1134;1993
2;Charlotte Hornets*;82;2409;428;879;.487;21;65;.326;407;814;.500;223;290;.771;134;306;439;264;78;58;162;218;1101;1993
3;Golden State Warriors;82;2427;424;880;.482;36;104;.350;387;776;.499;216;301;.717;149;291;439;245;85;47;177;251;1099;1993
4;Portland Trail Blazers*;82;2427;410;895;.458;34;103;.326;376;793;.475;232;311;.745;150;306;455;240;94;52;148;231;1085;1993
5;Seattle SuperSonics*;82;2412;424;871;.486;27;74;.357;397;796;.498;210;275;.761;149;275;424;232;115;50;155;240;1083;1993
6;Sacramento Kings;82;2412;410;886;.463;32;96;.332;378;790;.478;227;298;.762;139;278;417;253;94;42;166;254;1079;1993
7;Indiana Pacers*;82;2409;411;856;.480;31;96;.326;380;760;.500;224;293;.766;149;299;448;261;75;49;153;249;1078;1993
8;Cleveland Cavaliers*;82;2418;418;840;.497;35;90;.381;383;749;.511;207;258;.802;113;304;418;286;75;65;137;193;1077;1993
9;Atlanta Hawks*;82;2418;414;887;.466;47;131;.355;367;756;.486;201;271;.742;157;286;443;254;98;34;163;220;1075;1993
10;Los Angeles Clippers*;82;2415;432;894;.484;16;60;.271;416;834;.499;190;265;.718;144;288;432;273;103;60;163;234;1071;1993
11;Utah Jazz*;82;2409;407;833;.489;16;50;.314;391;782;.500;233;304;.766;127;300;427;265;91;42;155;240;1062;1993
12;Orlando Magic;82;2424;397;818;.486;39;108;.357;359;710;.505;222;304;.730;127;313;440;238;66;57;174;235;1055;1993
13;San Antonio Spurs*;82;2421;404;825;.490;29;84;.341;375;740;.507;219;286;.765;112;310;422;245;71;63;150;225;1055;1993
14;Denver Nuggets;82;2418;409;888;.460;17;55;.304;392;833;.471;218;288;.756;154;313;467;212;79;69;172;249;1052;1993
15;Chicago Bulls*;82;2418;424;879;.482;30;82;.365;394;797;.494;175;238;.733;157;278;436;260;95;50;135;220;1052;1993
16;Philadelphia 76ers;82;2430;393;863;.456;40;115;.351;353;748;.472;217;275;.786;126;296;422;249;82;69;166;196;1043;1993
17;Los Angeles Lakers*;82;2418;404;853;.473;23;76;.299;381;777;.490;212;281;.756;135;279;414;245;95;53;154;217;1042;1993
18;Houston Rockets*;82;2412;400;822;.486;47;131;.361;353;692;.510;193;255;.758;120;309;429;258;83;66;158;207;1040;1993
19;Boston Celtics*;82;2412;421;865;.487;13;47;.287;408;818;.498;181;233;.777;131;297;428;244;79;56;143;227;1037;1993
20;Miami Heat;82;2440;381;835;.456;41;115;.354;341;721;.473;233;302;.771;138;291;429;206;74;43;157;245;1036;1993
21;New Jersey Nets*;82;2412;399;864;.462;19;60;.318;380;804;.473;211;275;.767;157;306;463;228;85;64;165;231;1028;1993
22;Milwaukee Bucks;82;2406;399;844;.472;38;114;.333;360;730;.494;188;254;.742;128;258;386;254;105;48;166;241;1023;1993
23;Washington Bullets;82;2415;403;862;.467;21;70;.301;381;791;.482;192;257;.748;126;283;408;257;82;44;161;219;1019;1993
24;New York Knicks*;82;2430;391;841;.465;24;74;.320;368;768;.479;209;282;.741;140;324;465;259;83;45;158;257;1016;1993
25;Detroit Pistons;82;2412;398;879;.453;36;111;.322;363;769;.472;174;239;.729;158;282;440;237;71;30;140;213;1006;1993
26;Dallas Mavericks;82;2406;386;887;.435;35;102;.338;351;785;.448;187;265;.705;150;276;427;205;79;43;178;281;993;1993
27;Minnesota Timberwolves;82;2421;371;796;.466;20;69;.292;351;727;.483;219;274;.798;115;269;383;244;79;55;173;247;981;1993
1;Phoenix Suns*;82;2403;418;863;.484;42;127;.330;376;736;.511;204;281;.728;149;299;448;276;91;56;159;200;1082;1994
2;Golden State Warriors*;82;2412;428;871;.492;35;105;.339;393;767;.512;186;281;.664;144;292;436;268;98;62;175;218;1079;1994
3;Portland Trail Blazers*;82;2409;411;906;.454;33;94;.353;378;812;.466;217;292;.743;159;300;459;252;91;50;148;223;1073;1994
4;Charlotte Hornets;82;2418;412;866;.476;41;112;.367;371;754;.493;199;260;.764;124;302;426;270;88;48;154;213;1065;1994
5;Seattle SuperSonics*;82;2406;407;842;.484;30;88;.335;378;754;.501;216;290;.745;140;272;412;258;128;45;154;233;1059;1994
6;Orlando Magic*;82;2406;407;839;.485;48;139;.347;359;701;.513;194;286;.678;144;287;431;252;83;56;162;209;1057;1994
7;Miami Heat*;82;2415;390;841;.464;41;122;.338;349;719;.485;213;271;.785;151;294;444;226;78;46;160;247;1034;1994
8;New Jersey Nets*;82;2418;386;868;.445;27;83;.327;359;784;.458;232;304;.762;159;312;470;232;85;70;146;206;1032;1994
9;Los Angeles Clippers;82;2412;408;874;.467;31;101;.303;377;772;.488;184;260;.709;137;294;430;265;98;51;180;216;1030;1994
10;Utah Jazz*;82;2418;391;821;.477;22;68;.320;369;752;.491;215;290;.740;129;291;420;266;92;44;145;242;1019;1994
11;Atlanta Hawks*;82;2409;396;858;.461;33;101;.323;363;757;.480;190;252;.752;152;295;448;251;112;55;153;198;1014;1994
12;Cleveland Cavaliers*;82;2421;382;821;.465;36;99;.362;346;722;.480;212;275;.770;133;287;420;250;86;52;139;207;1012;1994
13;Houston Rockets*;82;2412;390;821;.475;52;157;.334;338;664;.508;179;241;.743;113;319;432;255;87;59;163;201;1011;1994
14;Sacramento Kings;82;2409;388;857;.452;31;89;.353;356;768;.464;204;280;.731;137;286;423;247;82;43;163;241;1011;1994
15;Indiana Pacers*;82;2409;386;795;.486;22;61;.368;364;734;.496;215;291;.738;138;294;432;251;86;56;176;241;1010;1994
16;Boston Celtics;82;2427;406;861;.472;17;58;.289;390;802;.486;178;244;.730;126;290;417;235;82;54;151;225;1008;1994
17;Los Angeles Lakers;82;2409;401;892;.450;29;98;.300;372;794;.468;172;240;.717;154;269;422;242;92;56;146;229;1004;1994
18;Washington Bullets;82;2403;390;832;.468;27;91;.297;363;742;.489;197;264;.748;131;267;398;222;85;39;171;209;1004;1994
19;Denver Nuggets*;82;2409;385;827;.465;21;73;.285;364;754;.483;212;295;.718;135;312;447;215;83;84;173;235;1003;1994
20;San Antonio Spurs*;82;2412;388;816;.475;30;87;.349;357;729;.490;195;262;.742;145;317;462;231;68;55;146;203;1000;1994
21;New York Knicks*;82;2409;378;821;.460;39;111;.348;339;711;.477;191;256;.746;143;310;453;252;92;47;166;244;985;1994
22;Philadelphia 76ers;82;2415;378;832;.455;39;115;.338;340;717;.474;184;258;.714;123;292;415;223;81;64;167;181;980;1994
23;Chicago Bulls*;82;2412;396;831;.476;28;80;.354;367;751;.489;160;227;.705;139;292;431;256;90;43;159;213;980;1994
24;Milwaukee Bucks;82;2403;371;830;.447;40;124;.325;331;706;.469;187;266;.702;137;263;400;237;98;50;164;222;969;1994
25;Detroit Pistons;82;2406;386;856;.452;44;127;.344;343;729;.470;153;209;.731;125;283;408;215;73;38;151;236;969;1994
26;Minnesota Timberwolves;82;2406;364;797;.457;22;68;.329;342;729;.469;217;281;.772;121;286;406;240;73;54;180;246;967;1994
27;Dallas Mavericks;82;2406;373;862;.432;29;94;.312;343;768;.447;177;237;.747;155;262;417;199;94;36;170;245;951;1994
1;Orlando Magic*;82;2430;422;841;.502;64;172;.370;358;669;.535;201;301;.669;140;300;440;278;82;60;158;210;1109;1995
2;Phoenix Suns*;82;2418;409;850;.482;71;193;.369;338;656;.515;217;287;.756;125;293;418;268;84;38;142;224;1106;1995
3;Seattle SuperSonics*;82;2418;404;822;.491;60;159;.376;344;663;.519;237;313;.758;130;285;415;258;112;48;158;252;1104;1995
4;San Antonio Spurs*;82;2421;395;815;.484;53;141;.375;342;674;.507;224;303;.738;125;325;450;234;80;56;152;228;1066;1995
5;Utah Jazz*;82;2412;395;773;.512;37;98;.376;359;675;.531;236;303;.781;107;294;401;275;92;48;157;249;1064;1995
6;Golden State Warriors;82;2427;392;838;.468;67;195;.341;326;643;.507;206;292;.704;134;289;423;246;79;48;183;220;1057;1995
7;Los Angeles Lakers*;82;2427;400;864;.463;64;182;.352;336;682;.493;186;253;.735;137;282;420;253;91;69;152;236;1051;1995
8;Houston Rockets*;82;2406;385;802;.480;79;214;.368;306;588;.521;186;249;.749;107;298;405;251;88;63;161;209;1035;1995
9;Dallas Mavericks;82;2430;394;895;.440;47;146;.322;346;749;.463;198;270;.734;185;297;481;237;71;42;164;221;1032;1995
10;Portland Trail Blazers*;82;2403;392;870;.451;56;154;.365;336;716;.469;190;272;.697;165;298;463;225;81;57;148;247;1031;1995
11;Boston Celtics*;82;2415;388;835;.464;44;120;.368;344;715;.480;208;277;.753;141;283;424;217;75;44;159;241;1028;1995
12;Chicago Bulls*;82;2418;389;818;.476;54;145;.373;335;674;.498;183;252;.726;135;280;415;240;97;43;158;239;1015;1995
13;Denver Nuggets*;82;2437;378;788;.479;50;141;.356;327;646;.507;207;281;.738;127;293;420;224;80;71;168;252;1013;1995
14;Miami Heat;82;2415;383;822;.467;53;144;.369;330;678;.487;191;260;.736;133;277;410;217;81;36;157;244;1011;1995
15;Charlotte Hornets*;82;2415;372;785;.474;68;172;.397;304;613;.495;194;249;.777;101;292;394;253;76;49;149;205;1006;1995
16;Washington Bullets;82;2421;387;841;.460;53;154;.343;335;687;.487;178;245;.724;127;271;398;213;79;49;159;238;1005;1995
17;Milwaukee Bucks;82;2421;369;803;.459;60;165;.366;308;639;.483;196;275;.712;130;267;396;212;82;44;170;227;993;1995
18;Indiana Pacers*;82;2412;364;762;.477;46;120;.380;318;642;.496;219;291;.751;128;279;407;229;86;44;163;236;992;1995
19;Sacramento Kings;82;2421;369;788;.468;44;126;.346;325;662;.491;201;283;.711;131;284;414;222;79;56;177;249;982;1995
20;New York Knicks*;82;2412;364;780;.467;65;176;.368;299;603;.496;189;258;.734;113;302;415;251;72;47;159;256;982;1995
21;Detroit Pistons;82;2406;373;809;.461;60;170;.354;313;639;.490;175;237;.741;117;269;386;228;86;51;161;262;982;1995
22;New Jersey Nets;82;2424;358;822;.436;50;158;.319;308;664;.464;213;281;.759;148;313;461;230;66;67;159;225;981;1995
23;Los Angeles Clippers;82;2424;373;840;.444;40;128;.315;333;712;.468;180;254;.710;130;253;383;220;96;53;163;262;967;1995
24;Atlanta Hawks*;82;2421;364;815;.447;66;193;.341;298;622;.480;172;238;.724;135;277;412;214;90;50;149;220;966;1995
25;Philadelphia 76ers;82;2415;360;802;.448;43;114;.379;316;688;.460;191;259;.737;135;272;407;191;78;70;165;224;954;1995
26;Minnesota Timberwolves;82;2412;340;758;.449;39;124;.313;302;635;.475;222;287;.775;108;255;363;217;74;49;171;253;942;1995
27;Cleveland Cavaliers*;82;2430;336;763;.441;49;126;.385;288;637;.452;184;242;.760;127;273;400;204;77;43;143;207;905;1995
1;Chicago Bulls*;82;2406;402;840;.478;66;165;.403;335;676;.496;182;244;.746;152;294;446;248;91;42;143;220;1052;1996
2;Seattle SuperSonics*;82;2424;375;781;.480;71;195;.364;304;586;.519;225;296;.760;116;299;415;244;108;48;176;240;1045;1996
3;Orlando Magic*;82;2421;391;810;.482;76;201;.378;315;609;.517;188;272;.691;118;293;411;254;81;50;141;208;1045;1996
4;Phoenix Suns*;82;2434;385;814;.473;40;120;.332;345;694;.498;233;301;.771;123;305;428;244;76;40;147;217;1043;1996
5;Boston Celtics;82;2427;386;847;.456;66;177;.371;320;669;.478;199;279;.714;128;296;424;219;80;50;159;249;1036;1996
6;San Antonio Spurs*;82;2412;384;805;.477;63;161;.392;321;644;.498;203;276;.736;114;315;430;249;79;65;146;222;1034;1996
7;Los Angeles Lakers*;82;2400;392;818;.480;58;166;.351;334;652;.512;186;250;.746;121;281;402;254;88;63;142;208;1029;1996
8;Charlotte Hornets;82;2424;379;807;.470;71;185;.384;308;622;.495;199;258;.770;120;275;395;233;71;34;151;221;1028;1996
9;Dallas Mavericks;82;2430;381;906;.420;90;249;.360;291;658;.443;174;241;.722;172;290;462;233;78;42;155;224;1025;1996
10;Washington Bullets;82;2415;390;807;.484;60;148;.407;330;659;.501;184;253;.728;113;284;397;221;72;62;162;242;1025;1996
11;Houston Rockets*;82;2415;375;810;.464;78;215;.362;298;595;.501;196;257;.765;112;299;411;242;79;58;152;214;1025;1996
12;Utah Jazz*;82;2412;382;783;.488;46;124;.372;336;659;.509;216;281;.768;121;289;410;261;81;51;148;250;1025;1996
13;Golden State Warriors;82;2409;373;817;.456;55;146;.373;318;671;.474;216;285;.759;143;279;422;230;86;57;164;224;1016;1996
14;Sacramento Kings*;82;2409;362;792;.457;56;146;.387;306;646;.473;215;294;.731;136;286;422;223;78;53;176;260;995;1996
15;Los Angeles Clippers;82;2406;381;807;.472;62;168;.370;319;640;.499;170;242;.702;119;267;386;204;86;50;165;245;994;1996
