Rk;Team;G;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Year
2;Los Angeles Lakers*;82;2421;478;925;.517;2;11;.138;476;914;.521;189;264;.717;153;305;459;287;103;63;179;244;1146;1982
3;San Antonio Spurs*;82;2409;451;928;.486;8;31;.254;443;898;.494;221;285;.776;153;309;462;275;73;68;158;270;1131;1982
4;Boston Celtics*;82;2412;446;894;.499;6;22;.266;440;872;.505;222;300;.740;153;304;456;259;80;69;177;246;1120;1982
5;Philadelphia 76ers*;82;2421;441;850;.518;5;17;.295;436;834;.523;225;301;.747;126;291;417;276;104;76;180;266;1112;1982
6;Detroit Pistons;82;2418;434;901;.482;6;26;.244;428;875;.489;236;315;.751;158;286;444;247;90;69;199;263;1111;1982
7;Utah Jazz;82;2412;449;908;.494;3;12;.227;446;896;.498;209;278;.751;140;288;428;231;85;44;175;268;1109;1982
8;Golden State Warriors;82;2412;445;896;.496;11;40;.280;434;857;.506;208;290;.717;156;299;455;222;84;48;174;271;1109;1982
9;Portland Trail Blazers;82;2412;443;876;.505;4;17;.207;439;859;.511;210;291;.720;139;287;426;250;86;45;170;245;1098;1982
10;San Diego Clippers;82;2409;433;866;.500;12;41;.293;421;825;.511;206;285;.723;138;268;406;229;78;36;191;287;1085;1982
11;Milwaukee Bucks*;82;2415;432;855;.505;6;20;.299;426;835;.510;214;284;.753;142;295;437;272;93;55;194;278;1084;1982
12;Seattle SuperSonics*;82;2418;427;875;.488;5;19;.248;423;857;.494;213;288;.740;135;310;445;256;84;56;165;251;1073;1982
13;Kansas City Kings;82;2424;440;888;.495;3;16;.200;436;872;.500;189;263;.719;132;278;410;251;91;49;184;288;1071;1982
14;New Jersey Nets*;82;2412;427;881;.484;4;18;.205;423;864;.490;209;287;.728;146;283;429;256;112;59;201;280;1067;1982
15;Chicago Bulls;82;2424;411;820;.501;7;26;.254;404;795;.509;238;310;.767;137;308;445;249;71;59;200;245;1066;1982
16;New York Knicks;82;2418;430;875;.491;7;26;.271;423;849;.498;195;265;.738;142;277;420;253;88;41;181;268;1062;1982
17;Phoenix Suns*;82;2418;428;871;.491;7;21;.310;421;850;.496;199;263;.758;137;307;444;271;92;52;186;247;1062;1982
18;Houston Rockets*;82;2412;427;898;.476;6;21;.284;421;877;.480;198;271;.729;171;279;450;241;79;52;161;228;1059;1982
19;Dallas Mavericks;82;2406;413;881;.469;7;23;.289;407;858;.474;212;289;.735;148;272;420;258;69;38;161;267;1046;1982
20;Washington Bullets*;82;2418;415;874;.474;7;29;.250;407;845;.482;198;257;.772;128;315;443;242;78;48;170;253;1035;1982
21;Cleveland Cavaliers;82;2415;415;894;.464;3;17;.182;412;878;.470;199;266;.747;145;265;410;228;77;44;161;267;1032;1982
22;Indiana Pacers;82;2418;406;874;.465;13;39;.326;394;835;.472;197;265;.741;139;289;428;231;92;60;170;249;1022;1982
23;Atlanta Hawks*;82;2424;391;826;.474;3;16;.219;388;811;.479;224;291;.768;138;289;427;221;74;59;164;277;1010;1982
1;Denver Nuggets*;82;2406;482;975;.494;3;15;.190;479;960;.499;266;329;.808;148;308;456;285;96;43;182;255;1232;1983
2;Los Angeles Lakers*;82;2406;483;916;.528;1;12;.104;482;904;.533;182;248;.736;151;297;447;307;103;58;193;235;1150;1983
3;San Antonio Spurs*;82;2412;451;895;.504;11;38;.305;439;858;.512;230;301;.765;150;317;467;276;82;57;183;255;1143;1983
4;Kansas City Kings;82;2412;454;913;.497;6;26;.237;447;887;.505;224;309;.727;153;294;447;263;93;50;206;297;1138;1983
5;Dallas Mavericks;82;2406;448;921;.487;5;23;.232;443;898;.493;226;300;.752;158;290;448;272;67;42;164;252;1127;1983
6;Detroit Pistons;82;2424;442;927;.477;9;33;.265;433;894;.484;234;316;.742;160;302;462;257;83;70;190;259;1127;1983
7;Boston Celtics*;82;2418;453;920;.492;5;23;.210;448;898;.499;211;286;.737;155;309;464;270;96;64;188;251;1121;1983
8;Philadelphia 76ers*;82;2418;439;880;.499;3;13;.229;436;866;.503;240;323;.742;163;317;479;246;99;70;198;249;1121;1983
9;Chicago Bulls;82;2427;431;899;.480;5;25;.215;426;874;.487;242;328;.737;155;308;463;254;81;49;213;267;1110;1983
10;Seattle SuperSonics*;82;2415;439;887;.494;4;17;.210;435;871;.500;219;300;.730;140;313;454;278;83;53;187;240;1100;1983
11;Utah Jazz;82;2409;430;895;.480;5;22;.240;425;873;.486;225;298;.756;133;311;444;265;92;73;205;246;1090;1983
12;Indiana Pacers;82;2418;452;942;.480;6;29;.212;446;913;.488;176;233;.758;158;280;438;262;92;50;187;254;1087;1983
13;Golden State Warriors;82;2412;442;916;.483;4;18;.227;438;897;.488;198;268;.737;156;279;435;240;104;52;196;261;1086;1983
14;San Diego Clippers;82;2418;442;931;.475;8;32;.244;434;899;.483;194;268;.724;170;257;427;255;100;50;195;279;1086;1983
15;Portland Trail Blazers*;82;2409;422;869;.486;4;18;.233;418;850;.491;226;306;.738;144;290;434;248;91;47;182;239;1074;1983
16;Phoenix Suns*;82;2406;434;873;.497;5;19;.253;429;854;.502;198;267;.743;133;307;440;280;91;60;188;251;1070;1983
